Outgroup,outgroup_att,symbolic,b5a,generalized,identification_selfinvestment,contact_quality,contact_friendsz
Black people,-1.575920139,-0.585668018,0.83676944,-1,1.138502545,0.386871216,3.343375795
Black people,-0.971304302,0.139265109,0.21142631,1,2.312923368,0.267428128,-0.656624205
Black people,0.020160369,-0.692315033,0.07433549,-4,-1.348019896,1.077682044,0.343375795
Black people,0.335317363,-0.706553393,0.14338453,1,0.028007819,-0.436361518,0.3437797
Black people,0.407009201,2.023259576,-0.49305472,-0.5,0.581755221,-1.322431061,-0.656624205
Black people,1.398473871,-0.503011392,0.65028429,0,2.36013882,-0.575317169,-0.656624205
Black people,1.011625039,-0.706553393,-0.49305472,-6,-1.505967113,0.29050472,1.047615948
Black people,1.011625039,-0.416472399,0.14338453,0,-1.246899635,-0.297879506,-0.656624205
Black people,0.020160369,-0.650419503,-0.12070823,-5,-0.461103371,0.595242826,-0.575103568
Black people,-1.673310128,-0.691571924,0.46442295,0,-0.368880544,1.092206136,0.343375795
Black people,-0.584455469,0.413936608,0.07433549,-1.5,0.178526742,-0.813619163,0.176002585
Black people,-0.971304302,-0.692471484,-0.78886738,-6,-1.266673823,0.289161867,-0.922347608
Black people,-0.971304302,-0.416472399,0.26937922,1.5,1.509975663,-0.918915811,-0.656624205
Black people,-1.647611977,-0.61807206,0.64172571,-1.5,0.136756556,-0.289682544,2.343375795
Black people,1.398473871,0.422883612,0.05659452,0,0.118755772,-3.045685795,-1.656624205
Black people,1.011625039,-0.692471484,-0.47531375,0,-1.239231107,0.929413034,0.343375795
Black people,0.020160369,-0.17568648,-0.47531375,0,-0.793777949,0.255075379,0.343375795
Black people,-1.962768972,-0.692471484,0.83676944,0,-1.330362817,1.065611598,0.135178905
Black people,-1.962768972,-0.64943578,0.64172571,-1,0.461597669,1.244114125,4.343375795
Black people,1.011625039,-0.650419503,0.45413516,6,1.736307493,0.895172494,-0.695774495
Black people,1.011625039,-0.692471484,-1.2377477,-6,-0.311881876,0.252268812,-1.656624205
Black people,-1.962768972,-0.692315033,0.83676944,0,0.739615388,1.13976633,0.258428816
Black people,-0.366688464,-0.626320288,0.83676944,-1,-0.429349342,1.069042489,0.975717607
Black people,-1.962768972,-0.692471484,-0.47811675,-1,-1.068616338,0.896785389,-1.656624205
Black people,0.020160369,-0.692315033,0.26937922,-2,-2.042979272,1.108890608,0.343375795
Black people,0.722166195,-0.585084498,-0.47811675,-3.5,-0.109145523,-0.123437655,-0.656624205
Black people,-0.971304302,-0.692471484,-0.12070823,-1,0.160570631,0.472169308,-0.656624205
Black people,0.020160369,1.223071594,0.21142631,0.5,0.107458276,-0.705145784,0.343375795
Black people,1.616240876,0.236387658,-1.06044494,-1,-0.576095809,0.019433174,0.343375795
Black people,1.011625039,1.152009425,0.14338453,-0.5,0.483642595,-0.436588748,1.343375795
Black people,-1.962768972,-0.692315033,0.26937922,-7,-0.813242559,1.014918368,-0.656624205
Black people,0.020160369,-0.64231587,-0.47531375,-1.5,0.250044387,-0.556774517,-0.656624205
Black people,2.003089709,1.140580206,0.46442295,0,-0.205859172,-1.585150946,-1.187322263
Black people,0.309619212,-0.480703435,0.21142631,-1,-0.155068983,-0.567393073,-0.656624205
Black people,0.020160369,-0.227741955,-0.16736611,-0.5,0.123797387,0.183596739,-0.656624205
Black people,-1.647611977,-0.692471484,0.26937922,-7.5,-1.990128957,1.092334724,0.921020057
Black people,0.020160369,-0.655271772,-0.31575196,-3.5,-0.068692386,-1.092736789,-1.656624205
Black people,0.309619212,-0.057201551,-0.67035748,0,-1.054771541,0.078720186,-0.656624205
Black people,-0.656147307,-0.585668018,-0.66628965,-5.5,-1.949429846,1.034955275,-0.077122456
Black people,-1.286461296,-0.61807206,0.07433549,0.5,-1.092205576,0.401684344,2.343375795
Black people,0.143248508,-0.580872348,-0.86540121,0,-1.783321937,1.070183491,0.543049532
Black people,0.624776206,0.563387329,-0.16736611,-1,0.48470031,-0.715590665,0.702269326
Black people,-1.962768972,-0.218708854,0.44668198,0,0.961099422,-0.416653979,0.667520821
Black people,-0.971304302,-0.655271772,-0.86540121,0,0.251392635,0.440975368,2.343375795
Black people,1.011625039,0.196809563,-1.04270397,2,-1.251702488,-1.991831857,-0.488150329
Black people,-1.673310128,-0.692315033,-0.29801099,-4,-2.115695841,0.276585381,0.343375795
Black people,0.696468044,0.040052396,-0.86540121,0.5,-0.275656422,-0.374274038,-1.656624205
Black people,-0.802222475,-0.691571924,0.21142631,0,0.049725002,0.566722585,-0.156482757
Black people,1.011625039,0.720661864,0.45413516,0,-0.990672837,-1.337184214,-1.656624205
Black people,1.011625039,-0.226436775,-0.47531375,0.5,-0.210938945,-2.178053233,-0.656624205
Black people,1.011625039,-0.712934405,-0.86540121,0,-2.085761856,0.29030209,0.099480964
Black people,1.811020854,0.687451036,0.21142631,-2,-1.43783062,-2.070559395,0.343375795
Black people,0.020160369,-0.626320288,0.64172571,-2.5,-1.483626425,1.128624871,-0.656624205
Black people,1.301083882,2.121490786,-0.12070823,1,-0.383806485,-0.950991961,1.343375795
Black people,-0.971304302,-0.64943578,0.46442295,0,1.487093486,1.223092244,2.029484627
Black people,0.722166195,-0.480703435,0.25163825,-1.5,-0.026749536,1.091594153,0.820969848
Black people,-0.971304302,-0.594749019,-0.10296726,-3,-0.759166568,0.414834991,0.343375795
Black people,2.679397384,1.194372951,0.26937922,4.5,1.839760887,-2.558114451,-1.232181471
Black people,0.624776206,2.091243928,-0.49305472,0,0.40312368,-0.78560378,0.343375795
Black people,-1.962768972,-0.692471484,0.46442295,0,0.129840939,1.131108896,0.343375795
Black people,0.309619212,-0.64943578,0.07433549,0,0.078101396,0.250333403,1.343375795
Black people,-0.971304302,-0.626561074,0.83676944,0,-0.753026517,0.926440399,-0.656624205
Black people,-1.962768972,-0.654726058,0.45413516,0,2.314513999,1.084493596,1.343375795
Black people,2.003089709,-0.392137327,-0.66628965,2,0.608992573,-2.1256472,-1.656624205
Black people,-0.392386615,0.273045507,0.21142631,-0.5,0.235155319,0.308934173,-1.216039587
Black people,-0.971304302,0.273045507,0.83676944,0,0.642471704,-0.118182191,-0.432623538
Black people,0.020160369,-0.64943578,0.45413516,0,-1.401126443,0.528418527,1.343375795
Black people,0.020160369,-0.655271772,-0.47811675,0,0.588243088,0.085199933,-0.656624205
Black people,1.713630865,-0.64231587,-0.47811675,0,-0.078199455,-0.756582594,0.605728071
Black people,-1.017297989,-0.692315033,0.65028429,0,2.246144111,1.072343889,-1.656624205
Black people,0.696468044,-0.655271772,-0.31575196,-5.5,-0.117667657,1.072963613,0.343375795
Black people,-1.358153134,-0.552418949,0.83676944,-1.5,-0.478987484,1.220326912,4.343375795
Black people,-0.269298475,-0.702075938,0.83676944,-5,-0.23770618,0.342389345,-1.656624205
Black people,0.020160369,0.274644153,0.64172571,-3.5,0.49059995,-0.699956514,0.343375795
Black people,-0.971304302,-0.691571924,0.26937922,0,-1.158835081,0.975909635,0.033416024
Black people,-1.962768972,-0.692471484,-0.84766024,0,-0.809279422,0.602239304,0.592160082
Black people,1.011625039,-0.626320288,-0.47531375,0,-0.669926343,0.316427866,-0.656624205
Black people,0.020160369,-0.61807206,0.83676944,-2.5,1.834199623,-0.41566184,-0.656624205
Black people,-1.962768972,-0.598763068,0.45413516,-1,-0.206788601,0.624106345,0.343375795
Black people,0.020160369,0.308972025,0.21142631,0,-0.051817688,0.191110697,-0.656624205
Black people,0.020160369,-0.655271772,0.26937922,-1,-0.220284269,0.218355169,0.343375795
Black people,-0.971304302,-0.692471484,0.46442295,0,0.354980391,1.011051174,0.343375795
Black people,-0.971304302,-0.690632601,-0.47531375,-3,-0.232017634,1.038379976,0.343375795
Black people,0.407009201,0.751151472,0.45413516,2,1.728126985,-0.932115835,-0.656624205
Black people,-0.971304302,0.234911787,0.21142631,0,1.53201458,0.221728652,0.871835109
Black people,0.020160369,0.563387329,-0.12070823,0,-0.770884264,-0.005349463,-0.656624205
Black people,-1.962768972,-0.692471484,0.65028429,-4,0.352095333,0.890199906,0.702335632
Black people,1.713630865,-0.654726058,-0.78886738,-1.5,-0.738891512,0.168629656,-1.656624205
Black people,0.020160369,-0.692471484,-0.49305472,0,-0.717146421,1.124994547,-0.656624205
Black people,-0.584455469,-0.277458309,0.21142631,0,1.542491503,-0.469848887,2.343375795
Black people,-0.269298475,-0.702075938,-1.2377477,0,-0.170432299,0.84151098,0.343375795
Black people,0.722166195,0.282715651,0.21142631,1.5,0.63949078,0.245631804,-0.656624205
Black people,0.722166195,-0.64231587,0.14338453,-1,0.292741989,0.204094222,0.343375795
Black people,-0.656147307,-0.08331227,0.21142631,0,0.289511059,0.256447363,-0.148945916
Black people,1.03732319,0.608374488,-0.47531375,0,-0.237686488,0.131853424,-0.656624205
Black people,1.011625039,-0.692471484,-0.12070823,0,-1.498535595,-0.656444964,-0.181680406
Black people,-1.962768972,-0.690632601,0.83676944,-4,0.191908694,1.172968323,1.565071866
Black people,1.011625039,1.486934203,-0.29801099,2.5,-0.513612003,-2.154145828,1.343375795
Black people,-1.962768972,-0.547106633,0.45413516,0,-1.315021569,0.031762865,0.605483432
Black people,-1.017297989,-0.64231587,0.07433549,0,-0.108068463,1.123809287,2.343375795
Black people,1.301083882,-0.443793762,0.46442295,0,1.463327369,-0.973474028,-1.567138477
Black people,0.020160369,1.204014364,-0.16736611,1,0.026823777,1.140249998,2.343375795
Black people,-1.962768972,-0.692471484,0.83676944,-6.5,-2.290647425,0.92370245,1.343375795
Black people,-1.962768972,-0.650419503,0.14338453,0,-0.281797908,0.529419216,1.343375795
Black people,1.011625039,-0.64943578,-0.86540121,0,-0.736059707,0.622692359,-0.656624205
Black people,-0.366688464,0.211811872,0.83676944,0.5,1.432614432,0.029823496,-0.088283716
Black people,0.020160369,-0.64231587,0.83676944,0,2.301243669,1.071414537,1.343375795
Black people,2.389938541,2.089365427,-0.86540121,6,1.611929137,-1.482558206,-0.948542418
Black people,-1.673310128,-0.692471484,0.83676944,0,0.822040342,1.122182646,0.405359027
Black people,0.722166195,-0.626320288,0.45413516,0,-0.818361543,0.515741226,-0.656624205
Black people,2.02878786,1.717680272,-0.67035748,0.5,0.846454568,-1.839794755,-1.656624205
Black people,1.011625039,-0.643532026,0.46442295,0,-0.434359918,-1.266405201,-0.663100885
Black people,-1.673310128,-0.692315033,-0.47811675,0,0.07354851,0.958132406,-0.656624205
Black people,-0.340990313,-0.654726058,-0.12070823,-4,0.173447083,1.149940199,0.343375795
Black people,-1.673310128,-0.64943578,0.25163825,-0.5,-0.70233936,1.128129021,0.343375795
Black people,-0.656147307,-0.655271772,-0.47811675,-5.5,-0.36030415,0.379461282,0.343375795
Black people,1.011625039,-0.655271772,0.65028429,-2,-0.215170827,-0.844063423,-0.656624205
Black people,1.011625039,-0.580872348,-0.47811675,0,-0.055083172,-0.687505671,1.343375795
Black people,-1.647611977,-0.692315033,0.26937922,0,2.130187036,0.909935774,0.343375795
Black people,1.759624552,2.6366987,-1.10514763,5.5,-0.340788903,-2.376646471,-1.656624205
Black people,2.705095535,3.589751622,0.26937922,1.5,2.048151812,-4.426364113,-1.656624205
Black people,0.020160369,0.161924948,-0.86540121,-1.5,-0.177555547,-0.597826243,-1.656624205
Black people,-1.260763145,-0.626320288,0.25163825,-4,-1.911238719,1.04249811,1.558941595
Black people,0.020160369,-0.132095277,-0.47531375,-5.5,-0.677512673,0.39170537,0.343375795
Black people,-1.575920139,-0.127729222,0.14338453,0,1.535221467,1.06758972,1.545163175
Black people,-0.971304302,-0.706553393,-0.47811675,0,1.260217978,0.201521594,0.343375795
Black people,-0.971304302,-0.712934405,-0.12070823,0,-0.007137773,0.953539076,1.343375795
Black people,-0.971304302,-0.692471484,0.64172571,0,0.535095732,1.208105287,1.571890408
Black people,1.011625039,4.863798098,0.07433549,7.5,1.739574009,-0.927559017,0.343375795
Black people,0.020160369,-0.265273268,0.46442295,-4,0.528283847,0.586071996,-0.150965725
Black people,-0.971304302,-0.702075938,-0.28027002,-3,-0.972056021,0.419170093,1.343375795
Black people,-0.197606637,-0.61807206,0.65028429,-2,0.791391452,0.276247191,-1.401231724
Black people,1.011625039,-0.654726058,-0.16736611,0,-2.348965282,0.54544423,1.343375795
Black people,0.117550357,-0.226609957,0.65028429,-5,-1.456723815,-0.574373214,-0.33117035
Black people,-1.962768972,-0.547106633,-0.47531375,0,-0.253763313,0.54968215,-1.656624205
Black people,0.722166195,-0.598763068,0.07433549,0,0.551619651,0.789861644,-0.656624205
Black people,0.020160369,-0.228073556,0.26937922,0,0.217873218,0.199088057,1.343375795
Black people,1.011625039,-0.626320288,0.07433549,0,0.001775892,-1.532242525,-0.016940005
Black people,0.335317363,-0.127729222,-0.78886738,-2,0.329314081,0.179730765,-0.656624205
Black people,0.020160369,0.284026331,0.46442295,0,0.304872357,1.037882921,0.045759672
Black people,-0.971304302,-0.375738852,0.44668198,0,0.666767671,0.850791467,-0.049148312
Black people,-0.971304302,0.051789411,0.09207646,0,1.38640327,-0.414751933,1.343375795
Black people,1.011625039,1.219721951,-1.43279143,4.5,-0.070105135,-1.162439499,-0.285200376
Black people,-0.269298475,-0.585084498,0.46442295,0,-0.929243227,-0.306219349,-0.656624205
Black people,1.011625039,-0.61807206,0.25163825,1,1.498422558,-1.705306971,-0.989439575
Black people,1.011625039,0.816983065,0.46442295,0,0.665107153,-0.470747504,0.247381628
Black people,2.318246703,2.103768261,-0.67035748,2.5,0.723418702,-2.180389905,-1.631038218
Black people,1.011625039,-0.64231587,-0.86540121,0,-1.003393393,-1.815870257,-1.656624205
Black people,0.020160369,-0.643532026,0.21142631,0,-0.956867806,-0.603009919,-1.656624205
Black people,-0.366688464,-0.654726058,0.46442295,-5,-0.538571155,0.382044816,0.343375795
Black people,1.326782033,-0.443793762,-0.47811675,2,-0.011841566,-0.072731056,-1.656624205
Black people,-0.971304302,-0.654726058,0.46442295,0,0.31263161,0.802098132,0.432200457
Black people,0.020160369,-0.702075938,0.83676944,0,-1.475756257,0.424044473,0.197634588
Black people,0.722166195,-0.552418949,0.46442295,0,0.167564152,1.034282819,0.343375795
Black people,-0.584455469,-0.691571924,0.45413516,-2,0.886914578,1.130153181,-1.656624205
Black people,3.986019049,4.835759429,-1.10514763,7,1.421590278,-3.131568676,-0.534175079
Black people,-1.962768972,-0.692471484,0.83676944,0,1.607055625,0.972050963,-0.656624205
Black people,0.309619212,0.315124742,0.21142631,0.5,-0.005228772,-1.640221345,-0.656624205
Black people,0.020160369,0.793504858,0.14338453,1,0.805569642,-0.546412923,-0.656624205
Black people,1.011625039,-0.27809321,-0.10296726,-1,-0.017705151,-0.68743679,-1.060848901
Black people,0.309619212,-0.109385431,0.14338453,-1.5,-0.031258515,-1.504985302,2.343375795
Black people,1.011625039,1.047729134,0.46442295,6,1.95759171,-1.522889543,-0.656624205
Black people,1.011625039,-0.654726058,-0.22743167,-5.5,-2.067046044,1.146159816,1.343375795
Black people,1.011625039,1.174311796,0.65028429,0,2.007660956,0.699218157,-1.656624205
Black people,0.939933201,0.366781178,-0.86540121,-1,-1.173772021,-0.992460554,-0.080412108
Black people,0.335317363,1.244376553,-0.67035748,0.5,0.163118211,-0.069922527,-0.168974012
Black people,-0.584455469,-0.692471484,-0.47531375,-3,-0.423129455,0.241881327,0.343375795
Black people,-0.630449156,-0.654726058,0.26937922,-7,-1.019600217,1.206827891,1.57196274
Black people,1.616240876,3.258587947,-0.65261651,2,-0.70868303,-3.163967567,-0.656624205
Black people,-1.962768972,-0.626561074,0.65028429,-4,-1.24055898,0.031377537,1.343375795
Black people,2.828183675,4.467278491,-0.78886738,1,0.651484578,-0.320455546,0.343375795
Black people,-1.962768972,-0.692315033,0.83676944,-3,-1.996075712,1.10999112,1.343375795
Black people,-0.971304302,-0.691571924,0.14338453,0,-0.451332825,1.033810422,0.427591384
Black people,0.020160369,-0.628718414,-0.47531375,0,0.15147182,0.185875761,0.591483066
Black people,-0.971304302,-0.593698761,0.21142631,0,1.442691031,0.312396631,0.074211473
Black people,3.986019049,3.301008446,-0.47811675,1.5,1.110242703,-1.660746771,0.343375795
Black people,2.003089709,0.813062034,-0.78886738,0.5,0.115452334,-0.761456091,-0.397557356
Black people,-1.962768972,-0.628718414,-0.29801099,-6.5,-2.155041155,1.130683491,-1.656624205
Black people,0.020160369,-0.626320288,-1.06044494,-3.5,-1.036185896,-0.50410153,-0.656624205
Black people,1.713630865,-0.127538594,-0.12070823,1,0.878106689,0.070383317,-1.656624205
Black people,0.020160369,-0.474463118,0.09207646,0,-0.504217757,0.536255732,0.085677252
Black people,-0.971304302,-0.132095277,-0.67035748,1,0.546167793,0.233443912,2.343375795
Black people,-0.971304302,-0.654726058,0.26937922,-0.5,-0.296790077,0.17329166,-0.656624205
Black people,1.011625039,-0.654726058,0.45413516,0,0.35481027,-0.650648563,-1.656624205
Black people,1.011625039,-0.626320288,0.83676944,0,-0.096219989,1.097446563,0.615308829
Black people,-1.962768972,-0.692471484,-0.67035748,-2,-0.026926851,1.103254705,1.343375795
Black people,0.020160369,-0.692471484,0.07433549,0,0.089385694,-0.764370777,-1.656624205
Black people,-1.962768972,-0.64943578,0.46442295,0,1.218810553,1.092894869,0.040603461
Black people,1.301083882,-0.270774268,0.65028429,-1,0.151757183,-0.882709501,-1.656624205
Black people,0.020160369,-0.64943578,0.46442295,0,-1.468030814,1.248156657,3.343375795
Black people,1.011625039,-0.61807206,-1.10514763,0,-0.169945264,-0.884507848,-1.656624205
Black people,0.020160369,-0.565864903,0.07433549,0,-0.473849952,0.242626658,-0.715010176
Black people,1.011625039,1.498025975,0.14338453,3,0.508860994,-1.376224482,-0.814427907
Black people,-1.962768972,0.204007442,0.21142631,-1.5,1.026423131,1.169161536,1.025275319
Black people,0.020160369,0.308972025,0.21142631,0,0.375527674,-0.582968261,-1.507496623
Black people,-0.971304302,-0.64231587,-0.47811675,-1,-1.053491303,-0.423149239,0.343375795
Black people,-0.681845458,-0.643532026,0.65028429,-4,-0.372330417,-0.625836773,-1.429536048
Black people,-1.575920139,-0.692471484,0.65028429,0,1.725970844,1.156179332,0.343375795
Black people,-1.962768972,-0.64943578,-0.47811675,-0.5,0.582130147,1.100004917,0.343375795
Black people,1.011625039,-0.565864903,0.21142631,0,-0.780272141,-0.605323784,-1.656624205
Black people,0.722166195,-0.628718414,-0.86540121,-1,0.035601784,-0.130807,0.190304169
Black people,0.020160369,0.111906372,0.65028429,0,0.347023246,1.098846287,0.343375795
Black people,-0.61015362,0.221601777,-0.16736611,1.5,1.839925135,0.80126354,-0.656624205
Black people,0.335317363,-0.654726058,0.09207646,-3,-0.300290272,1.192304338,2.343375795
Black people,-0.971304302,-0.626320288,-0.29801099,-1,-1.117922145,0.0808505,-0.656624205
Black people,-1.962768972,-0.654726058,-0.47811675,-5,-2.492583527,1.172262605,1.343375795
Black people,0.020160369,-0.626320288,0.65028429,0,-1.055648833,0.421474293,0.343375795
Black people,-1.962768972,-0.655271772,-1.2377477,0,-2.049364064,1.020238546,-1.31322808
Black people,1.326782033,0.332614239,0.21142631,0.5,0.553280368,-0.752411708,-0.656624205
Black people,-1.962768972,-0.692471484,0.45413516,0,-0.5745139,1.078455782,-0.656624205
Black people,1.011625039,0.76743398,-0.78886738,0,1.116071426,0.578571823,-0.656624205
Black people,1.011625039,-0.503011392,0.83676944,0,-2.005246014,-0.912542438,-1.656624205
Black people,-0.971304302,-0.692471484,-0.10296726,-5,-1.698176033,-0.22423374,-0.406584105
Black people,1.011625039,-0.692315033,0.65028429,0,-1.933038249,0.60177715,-1.656624205
Black people,-0.971304302,-0.654726058,0.83676944,0,0.624534466,0.393858872,1.343375795
Black people,-0.971304302,0.282715651,0.21142631,0,-0.233183966,0.425115628,-0.656624205
Black people,-0.971304302,-0.692471484,0.45413516,0,0.099373362,0.595622173,0.343375795
Black people,-1.962768972,-0.706553393,0.26937922,-2.5,-1.022704145,1.128599367,1.343375795
Black people,1.011625039,-0.64231587,0.21142631,0.5,-1.126601875,-0.1614992,0.048478544
Black people,-1.962768972,-0.691571924,-0.67035748,0,-0.451385308,1.127784805,-0.656624205
Black people,-0.971304302,-0.654726058,0.26937922,0,0.042480099,0.889325981,0.242527482
Black people,-0.971304302,-0.654726058,0.21142631,0,0.019286382,0.663433713,1.343375795
Black people,1.011625039,-0.547106633,0.21142631,-0.5,0.07363787,0.928684978,1.343375795
Black people,-0.971304302,0.204007442,0.26937922,0,0.64015743,0.721542763,-0.656624205
Black people,2.003089709,3.059478209,-0.86540121,4,-0.238321069,-2.406845221,-1.575385659
Black people,1.011625039,-0.691571924,-0.16736611,-1,-0.079450301,0.1581782,-0.656624205
Black people,-0.269298475,1.09933639,0.46442295,1,1.398548056,-0.441795002,-0.656624205
Black people,-0.584455469,-0.27809321,0.14338453,0,0.4263612,0.970900827,1.553786371
Black people,-0.971304302,-0.628718414,0.83676944,0,1.106246393,0.96316733,0.955855465
Black people,-0.971304302,-0.365982882,0.26937922,0,0.074169693,0.055113376,1.343375795
Black people,1.011625039,0.83070457,0.26937922,-0.5,0.04834837,0.261200317,1.984293795
Black people,-1.962768972,-0.132095277,0.46442295,0,2.279635115,0.976009671,0.182705829
Black people,-0.340990313,-0.626320288,-0.28027002,-0.5,1.171979225,0.916908223,0.343375795
Black people,1.011625039,-0.692471484,0.21142631,-1,-1.961027986,0.97833814,-0.031956846
Black people,0.722166195,-0.692471484,-0.66628965,-4.5,-1.939483988,-0.200016512,0.343375795
Black people,0.939933201,0.428124479,-0.47811675,2,1.095482262,1.138121275,0.464218841
Black people,0.309619212,-0.585084498,0.21142631,0,-1.11113631,0.433198633,-0.347016498
Black people,-0.971304302,-0.655271772,-0.16736611,0,1.021237711,-0.103513783,-0.656624205
Black people,1.011625039,-0.64943578,0.65028429,0,-1.56094664,1.141576262,0.343375795
Black people,1.011625039,1.219721951,-1.10514763,0,-0.360345379,-1.205562881,0.343375795
Black people,0.143248508,-0.712934405,0.45413516,-1.5,-0.919728986,1.183106715,1.343375795
Black people,-0.971304302,-0.691571924,0.46442295,0,-0.637876599,0.202887447,-0.656624205
Black people,0.722166195,-0.690632601,-0.12070823,-4,-1.030691927,-0.460394962,-1.656624205
Black people,0.432707352,1.328637824,0.46442295,2,0.702535821,-0.439498073,0.343375795
Black people,-0.366688464,-0.64943578,0.14338453,0,1.59213687,0.52755496,-1.656624205
Black people,-0.366688464,-0.702075938,0.65028429,0,-1.874545438,0.865902595,-0.552073448
Black people,2.389938541,0.357115075,-0.86540121,-5,-1.734834246,-0.893684725,-1.656624205
Black people,-0.656147307,-0.64231587,-0.47531375,-7.5,-2.005544212,0.02769344,-0.656624205
Black people,1.011625039,0.29717659,0.46442295,-0.5,0.510187701,-1.010127136,-0.369949304
Black people,0.624776206,-0.276524962,-1.10514763,1.5,-0.251590704,0.004295446,0.343375795
Black people,0.020160369,0.832893172,-0.78886738,0,0.708693448,0.05438715,-0.656624205
Black people,2.994554379,2.039587493,0.21142631,-0.5,1.157629838,-2.608158325,-0.656624205
Black people,-1.962768972,-0.64943578,0.21142631,-3,-0.176912983,-0.250526077,0.169849649
